"Var1" "Freq" "Porc"
"352" "School - PS 149 Danny Kaye" 10 9.98775501235485e-07
"353" "School - PS 153 Hellen Keller" 10 9.98775501235485e-07
"354" "School - PS 16 Leonard Dunkly" 10 9.98775501235485e-07
"355" "School - PS 160 Walt Disney" 10 9.98775501235485e-07
"356" "School - PS 175 The Lynn Gross Discovery School" 10 9.98775501235485e-07
"357" "School - PS 179" 10 9.98775501235485e-07
"358" "School - PS 181 Brooklyn" 10 9.98775501235485e-07
"359" "School - PS 19 Asher Levy" 10 9.98775501235485e-07
"360" "School - PS 197 John B Russwurm" 10 9.98775501235485e-07
"361" "School - PS 33 Chelsea School" 10 9.98775501235485e-07
"362" "School - PS 46 Edward C Blum" 10 9.98775501235485e-07
"363" "School - PS 52 Sheepshead Bay" 10 9.98775501235485e-07
"364" "School - PS 60 Alice Austen" 10 9.98775501235485e-07
"365" "School - PS 83 Luis Munoz Rivera" 10 9.98775501235485e-07
"366" "School - PS 90 Horace Mann" 10 9.98775501235485e-07
"367" "School - The Bronx Mathematics Preparatory School" 10 9.98775501235485e-07
"368" "School - The Marie Curie School for Medicine, Nursing, and Health Professions" 10 9.98775501235485e-07
"369" "School - The Math and Science Exploratory School" 10 9.98775501235485e-07
"370" "School - Thomas Jefferson YABC" 10 9.98775501235485e-07
"371" "School - Williamsburg Charter High School" 10 9.98775501235485e-07
"372" "DCLA" 9 8.98897951111937e-07
"373" "MOC" 9 8.98897951111937e-07
"374" "NYCHA" 9 8.98897951111937e-07
"375" "NYCOOA" 9 8.98897951111937e-07
"376" "School - Flushing High School" 9 8.98897951111937e-07
"377" "School - Food and Finance High School" 9 8.98897951111937e-07
"378" "School - Gaynor McCown Expeditionary Learning School" 9 8.98897951111937e-07
"379" "School - Grace Dodge Career and Technical Education High School" 9 8.98897951111937e-07
"380" "School - High School for Law, Advocacy and Community Justice" 9 8.98897951111937e-07
"381" "School - High School of Sports Management" 9 8.98897951111937e-07
"382" "School - JHS 291 Roland Hayes" 9 8.98897951111937e-07
"383" "School - Learners and Leaders" 9 8.98897951111937e-07
"384" "School - Medgar Evers College Preparatory School" 9 8.98897951111937e-07
"385" "School - Merrick Academy Queens Public Charter School" 9 8.98897951111937e-07
"386" "School - Midwood High School" 9 8.98897951111937e-07
"387" "School - PS 138 Samuel Randall" 9 8.98897951111937e-07
